,Air_temperature_[K],Process_temperature_[K],Rotational_speed_[rpm],Torque_[Nm],Tool_wear_[min],Temp_Delta,Power_[W],Wear_per_Torque,Speed_Torque_Ratio,Type_H,Type_L,Type_M,Machine_failure
5316,303.6,312.8,1689,33.1,16,9.2,5854.452158,0.48338354,51.02717492,0,0,1,0
5317,303.6,312.7,1637,32.9,19,9.1,5639.923267,0.577507423,49.75682378,0,1,0,0
5318,303.5,312.6,1496,39,21,9.1,6109.769393,0.5384614,38.35896452,0,1,0,0
5319,303.5,312.7,1402,47,23,9.2,6900.403544,0.489361598,29.82978089,0,0,1,0
5320,303.4,312.7,1363,45.5,26,9.3,6494.352693,0.571428446,29.95603737,0,1,0,0
5321,303.4,312.7,1576,49.9,28,9.3,8235.41287,0.561122132,31.58316,0,0,1,0
5322,303.4,312.7,1357,55.3,31,9.3,7858.390336,0.56057856,24.53887441,0,0,1,0
5323,303.4,312.7,1399,48.4,34,9.3,7090.742171,0.702479194,28.90495271,0,0,1,0
5324,303.4,312.8,1526,30.8,37,9.4,4921.912266,1.201298311,49.54543846,0,0,1,0
5325,303.5,312.7,1694,27.3,40,9.2,4842.890739,1.465200928,62.05125932,0,1,0,0
5326,303.5,312.7,1420,49.1,42,9.2,7301.270766,0.855396974,28.92056437,0,0,1,0
5327,303.5,312.7,2116,16.7,45,9.2,3700.502931,2.694609165,126.706511,0,0,1,0
5328,303.7,312.9,1406,41.9,48,9.2,6169.187382,1.145584452,33.55607791,0,0,1,0
5329,303.7,313,1456,45.5,51,9.3,6937.474337,1.120878875,31.99999297,0,1,0,0
5330,303.6,312.9,1588,31.9,53,9.3,5304.809579,1.661441485,49.78054866,0,1,0,0
5331,303.7,312.8,1448,44.5,55,9.1,6747.722141,1.235954778,32.53931853,0,1,0,0
5332,303.6,312.7,1403,46.2,57,9.1,6787.787919,1.233765967,30.36795879,1,0,0,0
5333,303.5,312.6,1405,51.6,62,9.1,7591.972807,1.201550155,27.22867689,0,0,1,0
5334,303.4,312.6,2706,9.8,65,9.2,2777.042242,6.632646293,276.1221672,0,0,1,1
5335,303.3,312.4,1505,38.9,68,9.1,6130.765704,1.74807153,38.68893607,0,0,1,0
5336,303.2,312.4,1663,33.7,71,9.2,5868.819708,2.106824301,49.34716637,0,1,0,0
5337,303.3,312.6,1482,44.4,73,9.3,6890.643663,1.644143774,33.37837086,0,0,1,0
5338,303.3,312.5,1674,32.7,76,9.2,5732.338451,2.324158311,51.1926449,0,0,1,0
5339,303.4,312.7,1594,32.8,79,9.3,5475.083901,2.408535851,48.59754616,0,0,1,0
5340,303.5,312.7,1393,49.3,82,9.2,7191.618711,1.663285667,28.25557236,0,1,0,0
5341,303.5,312.8,1404,55.8,84,9.3,8204.080719,1.505376074,25.16128581,1,0,0,0
5342,303.5,312.8,1375,45.7,89,9.3,6580.327612,1.947483162,30.08752077,0,0,1,0
5343,303.5,312.8,1607,38.4,92,9.3,6462.130425,2.395832709,41.84894744,0,1,0,0
5344,303.4,312.8,1360,50.8,94,9.4,7234.878442,1.850393337,26.77164827,0,1,0,0
5345,303.5,312.8,1524,39.4,96,9.3,6287.960528,2.436547605,38.68019323,0,1,0,0
5346,303.4,312.7,1534,35.5,98,9.3,5702.723705,2.760562603,43.21125543,0,1,0,0
5347,303.3,312.7,1262,63.8,100,9.4,8431.573915,1.567397873,19.78056116,0,1,0,0
5348,303.3,312.6,1623,34.6,102,9.3,5880.621625,2.947976027,46.90750089,0,1,0,0
5349,303.3,312.7,1642,33.6,104,9.4,5777.514554,3.095237174,48.86903307,0,0,1,0
5350,303.4,312.8,1622,35.1,107,9.4,5961.926042,3.04843218,46.21081305,0,0,1,0
5351,303.5,312.9,1530,34.5,110,9.4,5527.632274,3.188404873,44.34781323,0,0,1,0
5352,303.4,312.8,1590,36.3,113,9.4,6044.110106,3.112946801,43.80164083,0,0,1,0
5353,303.4,312.7,1589,34,116,9.3,5657.58949,3.411763702,46.73528037,0,1,0,0
5354,303.4,312.6,1462,37.5,118,9.2,5741.260574,3.146665828,38.98665627,0,1,0,0
5355,303.3,312.5,1328,49.8,120,9.2,6925.578173,2.40963807,26.66666131,1,0,0,0
5356,303.3,312.6,1692,29,125,9.3,5138.388944,4.310343341,58.34480747,1,0,0,0
5357,303.3,312.5,1968,20.6,130,9.2,4245.422648,6.310676548,95.53393421,0,1,0,0
5358,303.3,312.6,1827,24.2,132,9.3,4630.016421,5.454543201,75.49583657,1,0,0,0
5359,303.3,312.6,1397,47.1,137,9.3,6890.423751,2.908704266,29.66029094,0,0,1,0
5360,303.3,312.6,1463,44,140,9.3,6741.020077,3.181817459,33.24999244,0,1,0,0
5361,303.3,312.7,1643,30.7,142,9.4,5282.07492,4.625405659,53.51789788,0,1,0,0
5362,303.2,312.6,1281,57,144,9.4,7646.32236,2.526315346,22.47368027,0,1,0,0
5363,303.2,312.5,1518,39.9,146,9.3,6342.687072,3.659146953,38.04510325,0,1,0,0
5364,303.2,312.6,1601,35.3,148,9.4,5918.268377,4.192633373,45.3540948,0,1,0,0
5365,303.1,312.6,1548,36.4,150,9.5,5900.664986,4.120877989,42.52746084,0,1,0,0
5366,303.1,312.6,1404,40.6,152,9.5,5969.277369,3.743841442,34.58127227,1,0,0,0
5367,303.1,312.5,1766,26.7,157,9.4,4937.766837,5.88014761,66.14229732,0,0,1,0
5368,303.1,312.5,1667,30,160,9.4,5237.034954,5.333331556,55.56664814,0,0,1,0
5369,303,312.5,1507,37.9,163,9.5,5981.10023,4.300790422,39.76252249,1,0,0,0
5370,303,312.4,1627,37.1,168,9.4,6321.062443,4.528300666,43.85443562,1,0,0,0
5371,302.9,312.3,1435,47.7,173,9.4,7168.014878,3.626833621,30.08385114,0,1,0,0
5372,302.9,312.3,1509,46.8,175,9.4,7395.43477,3.73931544,32.24358285,1,0,0,0
5373,302.9,312.3,1809,25,180,9.4,4735.950925,7.19999712,72.35997106,0,0,1,0
5374,302.9,312.3,1515,40.8,183,9.4,6472.937503,4.485293018,37.13234384,0,1,0,0
5375,302.9,312.3,1530,34.9,185,9.4,5591.720764,5.30085808,43.83952899,0,1,0,0
5376,302.8,312.3,1336,57.5,187,9.5,8044.571588,3.252173347,23.23477857,1,0,0,0
5377,302.9,312.4,2030,19.1,192,9.5,4060.299065,10.05235076,106.2826669,0,1,0,0
5378,302.9,312.4,1550,36.9,194,9.5,5989.446394,5.25745115,42.00540867,0,1,0,0
5379,302.9,312.4,1446,41.7,196,9.5,6314.412738,4.700238681,34.67625068,0,1,0,0
5380,302.8,312.3,1494,37.5,198,9.5,5866.924281,5.279998592,39.83998938,0,1,0,0
5381,302.8,312.4,1651,27,200,9.6,4668.092524,7.407404664,61.1481255,0,1,0,0
5382,302.9,312.4,1698,33.8,202,9.5,6010.118074,5.976329593,50.23667153,0,1,0,0
5383,302.8,312.3,1504,40.3,204,9.5,6347.190022,5.062033483,37.32009,0,1,0,0
5384,302.9,312.4,1421,46,206,9.5,6845.111513,4.478259896,30.89129763,0,0,1,0
5385,302.9,312.3,1754,26.9,209,9.4,4940.950318,7.76951384,65.20443673,1,0,0,0
5386,302.9,312.2,1469,42,214,9.3,6460.999451,5.095236882,34.97618215,0,1,0,0
5387,302.8,312.2,1433,50,216,9.4,7503.170454,4.319999136,28.65999427,0,1,0,0
5388,302.8,312.3,1432,49,218,9.5,7347.975777,4.448978684,29.22448383,0,0,1,0
5389,302.8,312.3,1366,49.1,221,9.5,7023.616808,4.501017413,27.82076826,0,1,0,0
5390,302.8,312.3,1483,47.2,223,9.5,7330.131531,4.72457527,31.41948487,1,0,0,0
5391,302.7,312.2,1572,34.4,228,9.5,5662.909254,6.62790505,45.69766113,0,1,0,0
5392,302.8,312.2,1481,40.2,230,9.4,6234.616285,5.721391612,36.84078686,0,1,0,0
5393,302.8,312.3,1473,42.6,232,9.5,6571.14369,5.446008111,34.57745667,0,1,0,0
5394,302.8,312.3,1262,70.5,234,9.5,9317.021333,3.319148465,17.90070668,0,0,1,1
5395,302.8,312.4,1529,36.8,237,9.6,5892.287405,6.440215641,41.54890175,0,1,0,0
5396,302.8,312.4,1523,39.7,239,9.6,6331.681026,6.020149617,38.36271074,0,1,0,0
5397,302.8,312.3,1416,42.7,241,9.5,6331.691498,5.644026781,33.16158474,0,0,1,0
5398,302.9,312.4,1923,23.9,244,9.5,4812.888529,10.20920075,80.46021738,0,1,0,0
5399,302.8,312.4,1411,53.8,246,9.6,7949.465107,4.572489856,26.22676092,1,0,0,1
5400,302.7,312.4,1477,46.3,251,9.7,7161.270926,5.421165136,31.90064106,0,1,0,1
5401,302.6,312.3,1454,54.8,253,9.7,8343.986312,4.616787479,26.53284187,0,0,1,1
5402,302.7,312.3,1421,48.5,0,9.6,7217.128443,0,29.29896303,0,1,0,0
5403,302.7,312.3,1858,25.4,2,9.6,4942.060347,0.078740126,73.1495775,0,1,0,0
5404,302.8,312.5,1422,46.1,4,9.7,6864.819771,0.086767877,30.84598029,1,0,0,0
5405,302.7,312.4,1444,48.7,9,9.7,7364.186395,0.18480489,29.65091794,0,1,0,0
5406,302.7,312.4,1360,47.8,11,9.7,6807.621841,0.230125475,28.45187689,0,1,0,0
5407,302.7,312.4,1954,24.8,13,9.7,5074.635557,0.524193337,78.79029081,0,1,0,0
5408,302.6,312.4,1628,33,15,9.8,5625.964124,0.454545317,49.33331838,0,1,0,0
5409,302.7,312.4,1433,44.2,17,9.7,6632.802682,0.384615298,32.42080714,0,1,0,0
5410,302.7,312.5,1417,51.5,19,9.8,7641.97649,0.368931967,27.51455776,0,0,1,0
5411,302.8,312.6,1462,39.4,22,9.8,6032.15111,0.558375493,37.10658957,0,1,0,0
5412,302.9,312.6,1328,59.9,24,9.7,8330.163304,0.400667713,22.17028011,0,1,0,0
5413,302.7,312.5,1527,36.4,26,9.8,5820.617205,0.714285518,41.95053793,1,0,0,0
5414,302.6,312.3,1534,34.3,31,9.7,5509.955579,0.903789824,44.72301903,0,1,0,0
5415,302.6,312.4,1410,50.3,33,9.8,7427.039192,0.656063488,28.03180357,0,0,1,0
5416,302.6,312.3,1660,30.3,36,9.7,5267.194243,1.18811842,54.78546047,0,1,0,0
5417,302.6,312.4,1386,45.8,38,9.8,6647.484391,0.829694142,30.26200213,0,1,0,0
5418,302.6,312.4,1398,41.6,40,9.8,6090.165855,0.96153823,33.60576115,0,1,0,0
5419,302.6,312.3,1321,53.4,42,9.7,7387.078134,0.786516707,24.73782308,0,1,0,0
5420,302.6,312.3,1512,34.2,44,9.7,5415.100425,1.286549331,44.21051339,0,1,0,0
5421,302.6,312.3,1566,36.6,46,9.7,6002.075597,1.256830258,42.78687356,0,0,1,0
5422,302.7,312.4,1422,44.5,49,9.7,6626.561384,1.101123348,31.955049,0,0,1,0
5423,302.6,312.3,1647,31.8,52,9.7,5484.655286,1.635219612,51.79243654,0,1,0,0
5424,302.6,312.2,1377,45.5,54,9.6,6561.059177,1.186812926,30.26372961,0,1,0,0
5425,302.5,312.2,1775,27.9,56,9.7,5185.984073,2.007167739,63.62004888,0,1,0,0
5426,302.6,312.3,1554,42,58,9.7,6834.848977,1.380952052,36.99999119,0,1,0,0
5427,302.7,312.4,1423,51.9,60,9.7,7733.941379,1.156069141,27.41810647,0,1,0,0
5428,302.7,312.4,1453,47.3,62,9.7,7197.064138,1.310781964,30.71880957,0,1,0,0
5429,302.8,312.4,1590,34.4,64,9.6,5727.751726,1.860464575,46.2209168,0,1,0,0
5430,302.8,312.5,1694,28.4,66,9.7,5038.025531,2.323942844,59.64786632,0,1,0,0
5431,302.8,312.5,1462,43.4,68,9.7,6644.552238,1.566819915,33.68662818,0,1,0,0
5432,302.8,312.4,1392,46.2,70,9.6,6734.56934,1.515151187,30.12986361,0,1,0,0
5433,302.9,312.5,1550,45.5,72,9.6,7385.36073,1.582417235,34.06592658,0,1,0,0
5434,302.9,312.5,1629,30.4,74,9.6,5185.889825,2.434209726,53.58550869,0,1,0,0
5435,303,312.5,1524,42.1,76,9.5,6718.861376,1.805225224,36.19951634,0,0,1,0
5436,302.9,312.5,1679,30.9,79,9.6,5432.976087,2.556633477,54.33655199,0,0,1,0
5437,302.9,312.6,1394,46.4,82,9.7,6773.441313,1.767240998,30.04309697,0,0,1,0
5438,302.9,312.5,1683,32.1,85,9.6,5657.411467,2.647974253,52.42989021,0,1,0,0
5439,303,312.5,1626,30.5,87,9.5,5193.366816,2.852458081,53.31145793,0,1,0,0
5440,303,312.5,1698,30,89,9.5,5334.424326,2.966665678,56.59998113,1,0,0,0
5441,303,312.6,1392,42.9,94,9.6,6253.528673,2.19114168,32.44754488,0,0,1,0
5442,303.1,312.7,1353,51.8,97,9.6,7339.325925,1.872586511,26.11968608,0,1,0,0
5443,303,312.7,1426,46.8,99,9.7,6988.661353,2.115384163,30.47007896,0,0,1,0
5444,303,312.7,2024,19.9,102,9.7,4217.860409,5.125625565,101.7084916,0,1,0,0
5445,303,312.8,1648,32.1,104,9.8,5539.758822,3.23987438,51.33954787,0,0,1,0
5446,303.1,312.9,1511,40.1,107,9.8,6345.085154,2.668328512,37.68078861,0,1,0,0
5447,303.1,312.8,1465,44.1,109,9.7,6765.576859,2.471654768,33.21994712,0,1,0,0
5448,303,312.7,1551,41.8,111,9.7,6789.17022,2.655501757,37.10525428,0,1,0,0
5449,303.1,312.8,2329,15.1,113,9.7,3682.773876,7.483438753,154.2383085,0,1,0,0
5450,303.1,312.8,1435,41.9,115,9.7,6296.432356,2.744629417,34.24820185,1,0,0,0
5451,303,312.7,1361,48.8,120,9.7,6955.151032,2.45901589,27.88933855,0,1,0,0
5452,303,312.7,1553,35.8,122,9.7,5822.146113,3.407820277,43.37987615,0,0,1,0
5453,303,312.6,1451,42.1,125,9.6,6397.026153,2.969120435,34.46555001,0,1,0,0
5454,303,312.5,1461,40.2,127,9.5,6150.421602,3.159203194,36.34327454,0,1,0,0
5455,303.1,312.6,1895,23.5,129,9.5,4663.432495,5.489359366,80.63826356,0,0,1,0
5456,303.1,312.6,1567,32.9,132,9.5,5398.753671,4.012156835,47.62916485,0,0,1,0
5457,303,312.5,1602,33.7,135,9.5,5653.547308,4.005933529,47.53707788,0,0,1,0
5458,303.1,312.6,1514,42.1,138,9.5,6674.774359,3.27790896,35.96198671,0,1,0,0
5459,303.1,312.5,1453,49.1,140,9.4,7470.948186,2.851323248,29.592662,0,1,0,0
5460,303,312.4,1526,36.1,142,9.4,5768.864702,3.933516916,42.27145643,0,0,1,0
5461,302.9,312.3,1339,52.1,145,9.4,7305.449085,2.783108871,25.70057088,0,0,1,0
5462,302.9,312.3,1889,22.8,148,9.4,4510.196077,6.491225223,82.85084085,0,1,0,0
5463,302.9,312.4,1561,34.8,150,9.5,5688.670313,4.310343589,44.85630895,0,1,0,0
5464,302.9,312.4,1659,33.1,152,9.5,5750.465441,4.592143628,50.12083078,0,0,1,0
5465,302.9,312.4,1424,49.5,155,9.5,7381.486099,3.131312499,28.76767096,0,1,0,0
5466,302.9,312.3,1426,44.7,157,9.4,6675.067575,3.512303465,31.90155886,0,0,1,0
5467,302.9,312.4,1383,51.4,160,9.5,7444.129456,3.112839861,26.90660955,0,1,0,0
5468,302.8,312.3,1764,29.9,162,9.5,5523.296876,5.418058389,58.99663579,0,1,0,0
5469,302.7,312.2,1439,42.5,164,9.5,6404.398424,3.858822621,33.85881556,0,0,1,0
5470,302.7,312.2,1585,35.5,167,9.5,5892.318821,4.704224027,44.64787475,0,0,1,0
5471,302.7,312.3,1346,61.2,170,9.6,8626.310772,2.777777324,21.99346046,0,1,0,0
5472,302.8,312.3,1386,57.8,172,9.5,8389.183358,2.975778032,23.97923461,0,1,0,0
5473,302.7,312.2,1369,51.8,174,9.5,7426.117659,3.359072711,26.42856633,0,1,0,0
5474,302.7,312.1,1378,46.9,176,9.4,6767.849278,3.752664445,29.38165685,0,0,1,0
5475,302.7,312.2,1336,46.8,179,9.5,6547.581745,3.824785508,28.54700245,0,1,0,0
5476,302.6,312.1,1445,42,181,9.5,6355.441938,4.309522783,34.40475371,0,0,1,0
5477,302.7,312.1,1763,26.5,184,9.4,4892.454599,6.943393606,66.52827678,0,1,0,0
5478,302.7,312.2,1611,34.1,186,9.5,5752.790219,5.454543855,47.24338791,0,1,0,0
5479,302.7,312.1,1564,32.1,188,9.4,5257.392474,5.856695995,48.72272625,0,0,1,0
5480,302.7,312.1,1478,36,191,9.4,5571.92873,5.305554082,41.05554415,1,0,0,0
5481,302.6,312,1781,28.5,196,9.4,5315.41769,6.877190569,62.49120614,0,1,0,0
5482,302.6,312.1,1782,26.8,198,9.5,5001.164177,7.388056945,66.4925125,0,1,0,0
5483,302.6,312.1,2000,21.9,200,9.5,4586.725274,9.132415921,91.32415921,0,0,1,0
5484,302.5,312,1826,25.3,203,9.5,4837.822303,8.023712244,72.17388452,0,0,1,0
5485,302.6,312.1,1344,51,206,9.5,7177.910895,4.039214894,26.35293601,0,1,0,0
5486,302.6,312.2,1520,43,208,9.6,6844.483195,4.837208177,35.34882899,0,1,0,0
5487,302.6,312.1,1611,39.9,210,9.5,6731.270667,5.263156576,40.37592973,0,0,1,0
5488,302.7,312.2,1450,52.1,213,9.5,7911.053901,4.088290962,27.83108871,0,1,0,1
5489,302.6,312.1,1499,35,215,9.5,5494.121952,6.142855388,42.82855919,0,1,0,0
5490,302.6,312.1,1288,68.5,0,9.5,9239.214555,0,18.80291696,0,1,0,1
5491,302.7,312.2,1350,58.6,2,9.5,8284.379828,0.034129687,23.03753873,0,0,1,0
5492,302.9,312.4,1334,50.9,5,9.5,7110.534204,0.098231808,26.20824632,0,0,1,0
5493,302.8,312.4,1376,57.1,8,9.6,8227.789272,0.140105054,24.09806933,0,1,0,0
5494,302.8,312.4,1368,49.5,10,9.6,7091.202938,0.202020161,27.63635805,0,1,0,0
5495,302.9,312.5,1357,55,12,9.6,7815.758923,0.218181779,24.67272279,1,0,0,0
5496,302.9,312.5,1924,24,17,9.6,4835.539412,0.708333038,80.16663326,0,0,1,0
5497,302.9,312.5,1551,40,20,9.6,6496.813608,0.499999875,38.77499031,0,0,1,0
5498,302.9,312.5,1903,21.2,23,9.6,4224.771913,1.084905149,89.7641086,0,0,1,0
5499,302.9,312.3,1417,48.7,26,9.4,7226.490389,0.533880794,29.09650327,1,0,0,0
5500,302.7,312.1,1601,35.2,31,9.4,5901.502744,0.880681568,45.48294162,0,1,0,0
5501,302.7,312.1,1543,37.5,33,9.4,6059.346831,0.879999765,41.14665569,0,1,0,0
5502,302.6,312.1,1439,52.3,35,9.5,7881.177354,0.669215933,27.51433508,0,1,0,0
5503,302.6,312,1657,29.3,37,9.4,5084.154583,1.262798204,56.55288172,1,0,0,0
5504,302.8,312.2,1458,51,42,9.4,7786.751551,0.82352925,28.58822969,0,1,0,0
5505,302.8,312.2,1746,27.4,44,9.4,5009.834973,1.60583883,63.72260448,0,1,0,0
5506,302.9,312.2,1677,30.5,46,9.3,5356.258395,1.508196227,54.98358853,0,1,0,0
5507,302.8,312.1,1520,39.9,48,9.3,6351.043708,1.203007217,38.09522855,0,1,0,0
5508,302.9,312.2,1367,55.1,50,9.3,7887.669979,0.907440852,24.80943288,0,1,0,0
5509,302.8,312.2,1509,36.5,52,9.4,5767.807032,1.424657144,41.34245443,0,1,0,0
5510,302.8,312.1,1418,51.4,54,9.3,7632.520296,1.050583453,27.58754327,0,1,0,0
5511,302.8,312.1,1958,20.3,56,9.3,4162.337995,2.758619331,96.45315446,0,1,0,0
5512,302.8,312.2,1682,30.9,58,9.4,5442.683609,1.877022046,54.43363934,0,1,0,0
5513,302.8,312.2,1452,50.3,60,9.4,7648.270147,1.192842705,28.86679347,0,0,1,0
5514,302.7,312,1828,24,63,9.3,4594.265097,2.624998906,76.16663493,0,1,0,0
5515,302.7,312,1484,41.5,65,9.3,6449.270839,1.566264683,35.75902753,1,0,0,0
5516,302.6,312,1674,32.2,70,9.4,5644.688016,2.173912368,51.98756149,0,1,0,0
5517,302.6,311.9,1448,49.5,72,9.3,7505.893168,1.454545161,29.25251934,0,1,0,0
5518,302.5,311.8,2023,19.1,74,9.3,4046.298034,3.874343521,105.9161749,0,0,1,0
5519,302.5,311.9,1452,47.4,77,9.4,7207.316202,1.624472231,30.63290493,0,1,0,0
5520,302.6,312,1496,45,79,9.4,7049.733915,1.755555165,33.24443706,0,0,1,0
5521,302.6,311.9,1397,46.9,82,9.3,6861.165052,1.74840048,29.78677403,0,1,0,0
5522,302.6,311.9,1453,39.1,84,9.3,5949.370144,2.148337046,37.16111582,0,1,0,0
5523,302.5,311.9,1524,34.8,86,9.4,5553.833157,2.471263658,43.79309086,0,0,1,0
5524,302.6,311.9,1633,30.9,89,9.3,5284.127427,2.880257968,52.84787934,0,1,0,0
5525,302.6,312,1363,45.7,91,9.4,6522.899299,1.991246829,29.82493877,0,0,1,0
5526,302.5,311.9,1520,44.9,94,9.4,7146.913847,2.093540736,33.85299914,0,1,0,0
5527,302.5,311.9,1532,38.8,96,9.4,6224.709796,2.474226166,39.48452591,0,0,1,0
5528,302.4,311.8,1384,50.9,99,9.4,7377.045981,1.944989795,27.1905644,0,1,0,0
5529,302.4,311.8,1539,39.9,101,9.4,6430.431755,2.531327686,38.5714189,0,0,1,0
5530,302.3,311.8,1355,50.1,104,9.5,7108.952936,2.075847889,27.04590279,0,0,1,0
5531,302.3,311.7,1504,37.3,107,9.4,5874.694486,2.868631939,40.32170501,0,0,1,0
5532,302.4,311.8,1476,46.6,110,9.4,7202.792309,2.360514515,31.67381295,0,1,0,0
5533,302.4,311.7,1721,26.9,112,9.3,4847.990591,4.163567225,63.97767138,0,1,0,0
5534,302.3,311.7,1494,37.1,114,9.4,5804.343755,3.072775452,40.26953092,0,0,1,0
5535,302.3,311.7,1465,43.5,117,9.4,6673.528194,2.689654554,33.67815318,0,1,0,0
5536,302.3,311.8,1363,54,119,9.5,7707.583416,2.203703296,25.24073607,0,0,1,1
5537,302.4,311.8,1648,30,122,9.4,5177.344693,4.066665311,54.93331502,0,1,0,0
5538,302.3,311.8,1879,23,124,9.5,4525.673657,5.391302004,81.69561665,0,0,1,0
5539,302.3,311.7,1482,39,127,9.4,6052.592406,3.256409421,37.99999026,1,0,0,0
5540,302.4,311.8,1493,38.4,132,9.4,6003.709225,3.437499105,38.88019821,0,1,0,0
5541,302.4,311.8,1433,42.2,134,9.4,6332.675863,3.175354698,33.95733792,0,1,0,0
5542,302.3,311.7,1400,41.6,136,9.4,6098.878538,3.269229983,33.65383806,0,1,0,0
5543,302.4,311.8,1255,59,138,9.4,7753.974268,2.338982654,21.27118284,0,1,0,0
5544,302.2,311.7,1471,45.6,140,9.5,7024.349846,3.070174765,32.25876486,0,1,0,0
5545,302.2,311.6,1357,44.2,142,9.4,6281.02808,3.212668956,30.70135052,1,0,0,0
5546,302.3,311.7,1453,41.2,147,9.4,6268.901533,3.567960299,35.26698173,0,1,0,0
5547,302.3,311.7,1540,28.9,149,9.4,4660.657421,5.155707559,53.28717879,0,0,1,0
5548,302.3,311.8,1605,35.2,152,9.5,5916.247285,4.318180591,45.59657796,0,1,0,0
5549,302.3,311.9,1374,52.4,154,9.6,7539.571041,2.938930737,26.22136904,1,0,0,0
5550,302.3,311.9,1508,42.3,159,9.6,6679.905627,3.75886436,35.65010978,0,0,1,0
5551,302.4,311.9,1366,47.3,162,9.5,6766.131874,3.424946422,28.87948649,1,0,0,0
5552,302.5,312,1579,35.7,167,9.5,5903.084012,4.677869838,44.22967949,1,0,0,0
5553,302.5,311.9,1306,59.7,172,9.4,8164.810811,2.881071544,21.87604324,0,1,0,0
5554,302.5,312,1521,40.2,174,9.5,6403.005651,4.328357132,37.83581148,0,0,1,0
5555,302.5,312,1411,44.2,177,9.5,6530.973192,4.004523981,31.9230697,0,1,0,0
5556,302.5,312,1357,42,179,9.5,5968.397723,4.261903747,32.30951612,1,0,0,0
5557,302.5,312,1436,43.5,184,9.5,6541.424223,4.229884085,33.01148666,0,0,1,0
5558,302.5,311.9,1553,40.1,187,9.4,6521.454166,4.663340483,38.72816989,0,1,0,0
5559,302.5,312,1451,43.2,189,9.5,6564.169354,4.374998987,33.58795519,0,0,1,0
5560,302.4,311.9,1541,37.9,192,9.5,6116.042106,5.065961724,40.65961988,0,1,0,0
5561,302.3,311.7,1341,46.3,194,9.4,6501.871572,4.19006389,28.96327668,0,0,1,0
5562,302.3,311.7,1648,32.1,197,9.4,5539.758822,6.137069739,51.33954787,0,1,0,0
5563,302.3,311.7,1640,31.5,199,9.4,5409.822549,6.317458312,52.06347554,0,0,1,0
5564,302.4,311.8,1416,46.1,202,9.4,6835.854287,4.381777791,30.71582848,0,1,0,0
5565,302.4,311.9,1671,29.9,204,9.5,5232.102653,6.822740193,55.88626893,0,1,0,0
5566,302.4,312,1457,45.5,206,9.6,6942.239086,4.527471532,32.02197098,0,1,0,0
5567,302.5,312,1445,54.8,0,9.5,8292.338529,0,26.36860833,0,0,1,0
5568,302.5,312.1,1534,38.6,3,9.6,6200.708028,0.077720187,39.74092235,0,1,0,0
5569,302.4,312,1508,36.9,5,9.6,5827.151718,0.135501318,40.8671976,0,1,0,0
5570,302.4,312.1,1492,47.7,7,9.7,7452.73742,0.146750493,31.27881944,0,0,1,0
5571,302.4,312,1562,37.9,10,9.6,6199.388559,0.263852173,41.21370944,0,1,0,0
5572,302.4,312,1545,36.4,12,9.6,5889.229588,0.329670239,42.44504328,0,1,0,0
5573,302.5,312.2,1738,25.3,14,9.7,4604.67424,0.553359465,68.69562502,0,1,0,0
5574,302.4,312,1305,49.1,16,9.6,6709.970669,0.325865514,26.57840599,0,1,0,0
5575,302.4,312,1477,39.7,18,9.6,6140.441809,0.45340039,37.20402086,1,0,0,0
5576,302.4,312,1457,43.4,23,9.6,6621.828051,0.529953795,33.57142084,1,0,0,0
5577,302.4,312.1,1455,40.4,28,9.7,6155.636645,0.693069135,36.01484257,0,1,0,0
5578,302.5,312.2,1574,38.7,30,9.7,6378.878219,0.775193598,40.67182412,0,1,0,0
5579,302.6,312.2,1695,27.1,32,9.6,4810.249592,1.180811372,62.54610238,0,1,0,0
5580,302.6,312.2,1458,38.8,34,9.6,5924.038435,0.876288434,37.5773099,0,0,1,0
5581,302.5,312.1,1454,47.6,37,9.6,7247.69614,0.777310761,30.54621207,0,0,1,0
5582,302.5,312,2052,18.9,40,9.5,4061.325319,2.116400997,108.5713711,0,1,0,0
5583,302.5,312,1673,29.9,42,9.5,5238.364894,1.404681804,55.95315854,0,1,0,0
5584,302.4,311.9,1578,29.9,44,9.5,4940.90843,1.471571414,52.77590208,0,1,0,0
5585,302.5,312,1642,29.1,46,9.5,5003.740283,1.580755471,56.42609745,0,0,1,0
5586,302.4,311.8,1557,31.5,49,9.4,5136.03275,1.555555062,49.42855574,0,0,1,0
5587,302.5,311.9,1481,42.9,52,9.4,6653.35917,1.21212093,34.52213648,0,1,0,0
5588,302.5,311.8,1566,37.6,54,9.3,6166.066733,1.436169831,41.64892509,0,0,1,0
5589,302.5,311.9,1298,57.5,57,9.4,7815.758923,0.991304175,22.57390912,0,0,1,0
5590,302.5,311.9,1340,59.4,60,9.4,8335.273629,1.01010084,22.55891876,0,0,1,0
5591,302.5,312,1574,33.8,63,9.5,5571.216636,1.863904774,46.56803356,0,1,0,0
5592,302.5,311.9,1437,46.7,65,9.4,7027.522855,1.391862657,30.77087136,0,1,0,0
5593,302.6,311.9,1354,48,67,9.3,6805.946325,1.395833043,28.20832746,0,1,0,0
5594,302.6,311.9,1598,35.5,69,9.3,5940.646988,1.943661424,45.01407183,0,1,0,0
5595,302.7,312,1944,21.4,71,9.3,4356.509365,3.317755459,90.84107905,0,0,1,0
5596,302.7,312,1538,36.7,74,9.3,5910.86469,2.016348224,41.90734553,0,0,1,0
